full name,car plate,car model,date,fine
Dorey Berling,ABD-1243,Truck Xtracab SR5,22-Aug-2019,50
Dorey Berling,ABC-1000,Wrangler,12-Jun-2018,50
Ofelia Manhood,ABN-2133,Aurora,18-Jun-2018,0
Mag Luca,WSE-2921,Ram Van 1500,19-Aug-2019,100
Etienne Winscum,FJD-2312,Wrangler,24-Jun-2019,0
Clemmy Skellion,ABS-3823,Sportvan G30,14-Aug-2019,0
Sergio Camier,JSI-3383,GTO,30-Mar-2018,50
Annabel Huglin,HHH-1233,Escape,01-Aug-2019,0
Moises Gaenor,IAJ-2948,BRZ,10-Feb-2019,0
Jobi Kenson,HJJ-3939,Familia,17-Feb-2019,100
Justinn Tiltman,EWR-3233,Neon,15-Mar-2018,1000
Aurie Jeary,PLO-9299,B-Series Plus,21-Feb-2019,0
Templeton Pickthorne,OSI-0009,Raider,19-Mar-2018,50
Angelia Tolussi,UFI-2344,Savana 3500,25-Aug-2018,0
Remy MacAnespie,FGG-3322,Tiburon,21-Feb-2019,0
Gloriane Macey,OKI-3948,X3,16-Aug-2018,100
Hulda Dron,IIU-2931,Colorado,08-Aug-2019,0
Bebe Waddilow,PPP-2456,Acadia,25-Feb-2018,0
Cammie Casewell,RIR-2929,Silverado 2500,21-Dec-2019,50
Alisha Capelle,OIU-0938,F150,27-Dec-2017,0
